gene	log2FC	FDR
ZNF180	0.15	0.289664202806387
SLC20A1	0.18	0.256351610964629
POLR3H	0.28	0.274540908028798
FAM89A	-0.24	0.426608441599982
PRRC2A	0.21	0.258134681257436
SRSF9	-0.23	0.257384853446069
ZNF177	0.3	0.520051111349188
ARAF	0.16	0.279794128682318
USP22	0.16	0.269419784064183
RBL2	-0.17	0.257256056123124
PROCA1	-0.21	0.367988478946985
MRPS36	-0.26	0.303818066407303
SLC6A16	-0.24	0.737236018397348
BIRC5	-0.29	0.257412944378635
AC010642.1	0.18	0.374506921309118
ABR	0.21	0.262677051967493
COBLL1	0.17	0.791351658125787
SPAG9	0.17	0.260165007206295
MAZ	-0.18	0.263472247890277
SUPT6H	0.15	0.258457624018115
SETBP1	-0.43	0.453565563711299
ERN1	0.72	0.316710940902901
DGKI	-0.25	0.582841082601983
POMZP3	0.19	0.378073579826596
TAS2R19	0.24	0.540816976798391
PPM1L	0.22	0.27027748778403
KLF5	0.31	0.441670644565233
CHST12	-0.29	0.422461512323828
RP11-468E2.4	0.27	0.459048784877024
HHIPL1	0.29	0.620182062620978
MTMR12	0.14	0.260213073008533
NUDT10	-0.19	0.669395715492591
ARHGAP9	-0.28	0.288382659180511
ISYNA1	-0.13	0.798901234250557
GPR157	0.23	0.51198043213653
NFATC2IP	0.14	0.26375653502017
TIAM2	0.26	0.458219220206726
RPUSD2	-0.33	0.30611754896957
MAP1S	0.26	0.285297267926228
INO80D	-0.22	0.284233711603449
TBC1D10A	0.25	0.322356058333191
LCAT	0.24	0.534349772035751
RSL24D1	-0.35	0.262804932858568
SAV1	0.19	0.291101438409556
BHLHE41	-0.71	0.383310549717826
SLC25A23	-0.3	0.286066236348081
TRIM26	0.22	0.278795593362219
ATG16L1	0.17	0.289321464225963
S100A11	0.33	0.281807257973706
SPATS2L	0.2	0.275835382530332
STXBP1	0.21	0.401807499343549
AP1G2	0.18	0.261463570072025
PARP15	0.27	0.276475114759196
ZDHHC16	-0.22	0.279436961206302
AC026310.1	0.31	0.447787093562959
SETD7	0.17	0.260278563060092
PLAA	0.24	0.274312042151572
CWC22	-0.15	0.278731389205507
ACP1	-0.19	0.261011866399958
TOMM70A	-0.23	0.260165007206295
ZNF470	0.24	0.36305896299466
HGS	0.13	0.266106983021274
GPS2	0.17	0.280316947594172
STOX2	-0.2	0.295376042192084
CDADC1	-0.18	0.370868935009728
C7orf41	-0.35	0.418906261819803
LST1	0.44	0.441728171488578
GPC5	0.18	0.796867644204274
FHDC1	0.19	0.668532361431357
KCNQ5	0.18	0.270909099892183
PLEK	-0.56	0.275210544913408
TRMT10B	-0.19	0.456946409121915
DHRS1	-0.29	0.369200460762094
PTCRA	0.5	0.554362689518825
ADCK1	-0.23	0.474835305641841
ACTR6	-0.19	0.287214154734541
RPP30	-0.15	0.284447397723613
EFNA4	0.23	0.314604484154727
ARHGEF28	0.09	0.863703954791969
FARP1	-0.24	0.287516563987035
SLC26A6	0.3	0.283203890342567
WDR4	-0.37	0.343239467465906
CDNF	0.25	0.671038979631601
KRTCAP3	-0.09	0.879310612412575
TSSK6	-0.2	0.466823990059612
MKNK2	0.3	0.263041007872862
CDCA4	-0.16	0.267451363549719
MED31	0.18	0.374989701481878
EPSTI1	0.08	0.915134190317122
SAE1	-0.19	0.263041007872862
NOMO2	-0.27	0.270990796138848
TNFRSF10B	-0.32	0.273034651189152
NME1	-0.48	0.262860626363518
RNF31	0.15	0.282645198663641
PUM1	0.13	0.263811951447017
METTL12	-0.32	0.308557786715912
RAB6C	0.2	0.681407169570267
CHKB-CPT1B	0.25	0.370586306414942
OGDH	-0.25	0.291555837876612
HSD17B13	0.2	0.810061650670346
PRRT3	0.16	0.737519852596378
RAG1	-0.39	0.430091767616111
ENTHD2	-0.14	0.30917266899487
LRRC63	-0.11	0.821747960967666
FIZ1	0.19	0.364130143303267
BRICD5	-0.21	0.440785213364622
TAS2R5	0.23	0.728429580796312
ZFPM1	0.11	0.838303781701357
CHD5	-0.21	0.617990827446335
RHNO1	-0.15	0.289780846276787
DNAJC28	0.22	0.721163471648441
TMEM126B	-0.22	0.288374710950365
CHMP2A	0.12	0.281357467293904
SPATA9	0.06	0.906237457873409
LEPROT	0.2	0.275501170227739
LRRC37A	0.18	0.498956624149025
PTAFR	0.17	0.790277593556996
ATG4C	-0.15	0.289321464225963
NEK1	-0.19	0.304700118546053
TRIB2	0.25	0.265893072315283
SEPT2	0.13	0.272279424165453
GOLGA6L4	-0.2	0.654100203801334
LDLRAD3	0.34	0.314855741488826
PLXNB2	0.25	0.266910421443977
NDUFB5	-0.16	0.270441038004944
SMAD5	0.14	0.265828054165461
HSF4	0.26	0.373143400157506
RIMBP3C	0.28	0.430378880219429
TMEM185A	0.16	0.322756524369814
UBE2K	0.18	0.266250895226512
AGAP5	0.18	0.383031290835778
RPAP2	0.17	0.278584552567345
GVQW1	0.1	0.872306047225556
GPR19	-0.23	0.419437737474871
UBQLN1	0.2	0.266380713154726
NDUFB11	-0.22	0.271688936142375
GPR155	-0.21	0.559980400784466
MED1	0.2	0.267543345003202
NCF2	0.38	0.460023065873694
BRD1	0.13	0.2726045940418
SYT1	0.24	0.269785850851241
RAB3D	0.3	0.279306767244431
ACADS	-0.28	0.370868935009728
GPR35	0.35	0.421418238111463
CBX6	0.25	0.270909099892183
TF	0.23	0.530726265304039
ZNF259	-0.29	0.277769200191786
TMEM249	-0.18	0.569951760623959
ACER3	0.26	0.285723283329742
FBXL14	0.15	0.308557786715912
RAPGEFL1	0.2	0.584027735368445
MAP3K4	-0.12	0.272368355196985
GSPT1	-0.22	0.266611802102687
PDIA4	0.31	0.267316376473715
HPS5	0.16	0.285396234277029
CHAC1	1.12	0.367392841469403
WDR90	-0.26	0.28911915525434
MGA	0.15	0.266986107561046
GOLGA1	-0.32	0.333564401892584
CTD-2369P2.10	-0.1	0.784440366820817
CATSPERG	0.11	0.821209232852433
NFS1	0.25	0.321164702273076
SYNE4	-0.11	0.816683285238067
CYP2C8	-0.07	0.930054843451016
SEC24C	0.14	0.267096658336285
PFKL	-0.3	0.269218414477029
RNFT2	-0.21	0.411322279664265
C7orf31	-0.2	0.593898057676466
LMBR1L	0.24	0.280418041349686
ZNHIT3	-0.19	0.286572487121707
ST3GAL2	0.14	0.286567485291832
ZNF827	0.14	0.793392768481436
IL10RA	-0.31	0.693212166142105
EMG1	-0.27	0.29082729627145
RP11-613M10.8	0.39	0.741691701293119
TBL3	-0.36	0.291493495674998
SIRT4	-0.2	0.626672717215807
HEXA	-0.19	0.281724652899933
FDX1L	-0.27	0.373788963892912
BAIAP2L2	0.09	0.871149899299547
PAFAH1B2	0.16	0.269070038351511
SWT1	-0.28	0.414747821894785
TNFSF14	-0.1	0.819000653093641
RGL2	-0.26	0.291546685891554
HNRNPF	-0.19	0.282817398909236
IQCG	0.23	0.513278506053244
RSU1	0.19	0.277471996480662
PLD1	-0.34	0.290503501310868
PCP2	0.03	0.965690490760129
ACRC	-0.17	0.565979343367802
PRDM1	-0.01	0.986706291732001
SHPK_ENSG00000262304.1	0.17	0.407935623562778
ABHD14A-ACY1	0.13	0.802289675146907
PLGRKT	-0.23	0.343856924659025
PEX7	-0.18	0.527257871189706
ULBP1	0.6	0.382321490635591
PTGDR2	0.34	0.488252890970558
COX8C	0.21	0.720469103447895
SLFN12L	0.12	0.71805975416658
DCPS	-0.18	0.311731423214987
AC117395.1	0.01	0.985245329170041
NIT2	-0.18	0.298190343787941
RABAC1	0.2	0.295327673561314
FOXJ3	0.13	0.274917600650492
DKFZP761J1410	0.21	0.67794010319346
TUBB3	0.13	0.815799665939522
SEC22C	-0.16	0.27799208837234
GDPD3	0.28	0.508502641235117
MAT2B	-0.17	0.27097461585479
TMED2	0.21	0.275409513534491
LCA5	-0.24	0.39337116196248
APH1A	-0.15	0.270990796138848
TCAP	0.15	0.64014282470472506
GALE	-0.31	0.354127071324187
UBL4A	-0.21	0.279436961206302
MRI1	-0.18	0.288850595416432
MYO7A	-0.3	0.729458475988398
ABHD6	-0.17	0.362536244671573
FAM154B	-0.03	0.959018887139428
TECPR1	0.14	0.301743927830735
NAB2	-0.21	0.300265422290415
RPA4	-0.07	0.877792354458853
CCDC135	0.2	0.620892485571353
AC139100.2	-0.02	0.965913938395825
COX19	0.14	0.333745899758841
ZBTB34	-0.14	0.287256897092168
CTB-58E17.5	0.06	0.919671577761328
CSAD	-0.23	0.437115424297532
HSP90AA1	0.46	0.295376042192084
ZMYND19	-0.28	0.299864319346828
TBC1D22A	-0.24	0.297278146656683
SCN11A	0.07	0.898358546719472
NTRK1	-0.09	0.853002245836092
SEC22A	-0.15	0.329290893682812
SLX1B	-0.25	0.297842663940774
YIPF1	0.18	0.340397089069472
EIF4A1	-0.21	0.297759273516061
UBE2D2	0.13	0.273007907590703
IQCD	-0.1	0.925469853201291
IGBP1	-0.33	0.279306767244431
KEAP1	0.16	0.275409513534491
LANCL2	0.24	0.401639932610857
MT-ATP8	-0.24	0.454762449266529
KDELR3	-0.04	0.956735418477378
FAM227B	0.25	0.462129869916918
ZMIZ1	0.29	0.294416304802363
POLG2	-0.13	0.318824500663689
CECR2	-0.76	0.394096919137049
HCN3	0.17	0.524316253650795
ARPC4	0.19	0.274206112128128
PUM2	0.21	0.275409513534491
PSTPIP2	0.05	0.902854674220399
CIITA	-0.19	0.275040905070266
NDUFA12	0.17	0.282645198663641
FBF1	0.17	0.426057320459744
GUCA1B	0.13	0.772692367153411
SPRYD4	-0.18	0.382265302680263
PURG	0	0.99891086126975
TRMT10A	0.18	0.348783342139237
TMEM101	-0.15	0.290684135694063
VILL	0.13	0.307311535337933
MICAL3	0.23	0.287214154734541
NUDT8	-0.25	0.539056095205345
MRGBP	-0.17	0.298868834326883
CABYR	0.14	0.755616121669059
NAPEPLD	-0.17	0.51144983812611
KPNB1	-0.19	0.29103916753032
IRS2	-0.21	0.343034443803118
NISCH	0.14	0.27754239360842903
ANKMY2	-0.22	0.356635871013403
REXO1	0.2	0.327517720166055
ZNF131	0.18	0.278161636224102
PIWIL2	0.14	0.723520143430005
FAM72C	-0.25	0.410835701586347
ADAT1	0.22	0.333266624129408
ZNF224	0.18	0.300265422290415
BCL2L2-PABPN1	-0.57	0.572148927221436
DUSP23	-0.28	0.35116885666716
ANKRD9	-0.21	0.560066439423944
VPREB1	-0.32	0.278524338851024
RBM28	-0.25	0.283909190872227
AUTS2	0.24	0.311828633120152
GALNT12	0.19	0.501780121031734
CEP55	-0.19	0.279180069299615
CD1D	-0.18	0.73626077887196
TRMT112	-0.22	0.2833383772635
RB1CC1	0.13	0.279794128682318
SCARB2	0.22	0.28058796792209
PIGR	-0.42	0.60248672878334
IGSF9B	0.14	0.83048202124485
STRIP2	0.23	0.430378880219429
NKX3-2	0.16	0.675059429626909
ANO9	0.17	0.700417694808825
IZUMO4	-0.57	0.44878810639454503
SCAF11	0.14	0.280516017168933
BRAT1	-0.13	0.311145291148384
C8orf44-SGK3	-0.31	0.793931678452122
DNAJB1	0.34	0.281131220507377
APC	0.16	0.283979443237556
ALG8	-0.19	0.292845932999331
VPS37C	0.16	0.35512779348713
THAP1	0.16	0.327364954585491
MAP10	0.18	0.307591358630206
ANXA6	0.26	0.287214154734541
SPDL1	-0.25	0.287579992293014
PFDN5	-0.21	0.278103557093737
NET1	-0.19	0.281779508230868
LIMS2	0.17	0.365249173517516
NAGS	0.18	0.66814013074736
ZNF77	0.21	0.364890716001533
ACPP	-0.03	0.969152811874589
AGPAT4	0.29	0.306491803378035
C12orf61	-0.18	0.778557614318873
SARNP	-0.16	0.287256897092168
LRRC39	-0.09	0.847968395548583
PRKACB	-0.21	0.304519112426515
B3GALNT2	-0.17	0.312172717255772
MED27	0.24	0.34468912159492
RFPL3S	0.01	0.99057728101265
TBX6	-0.23	0.605668559776452
CGRRF1	0.25	0.395563893779574
FBXL5	0.23	0.282097135101854
MOSPD3	0.25	0.433970320797437
GORASP2	-0.17	0.288464168070056
ARHGEF26	-0.15	0.510376336181185
MRPL16	-0.19	0.299941876030252
ZNF428	0.18	0.299019698622834
PRSS27	0.24	0.651993509280569
RRS1	-0.52	0.312172717255772
SSR4	0.21	0.282645198663641
MTERFD2	0.13	0.301018845203303
FBXO24	-0.07	0.902130502726412
BTBD6	-0.25	0.279436961206302
REXO4	-0.17	0.298652997895198
SH3GL3	-0.14	0.77972472742380206
NR6A1	0.15	0.656539990568631
SYP	-0.18	0.622762321879093
CRIPAK	0.21	0.68544619199913
MEIS1	0.17	0.282754200835295
CARD16	-0.18	0.392237624464752
FITM1	0.05	0.926340548708199
PHACTR1	-0.58	0.306067197432779
CHURC1	0.13	0.282093173591421
LIPT2	-0.15	0.671038979631601
NBPF15	0.35	0.390521777885392
CPOX	-0.22	0.299787282865847
EIF2S3L	-0.17	0.304432739548912
SUMO4	0.12	0.731927085530143
ACAP1	-0.32	0.281868469843616
FBRSL1	-0.22	0.323798766256329
NAA50	-0.22	0.285723283329742
TMEM38A	-0.39	0.466823990059612
LITAF	0.17	0.282645198663641
BRD3	0.18	0.294044546240455
RAB33B	0.24	0.303026806229614
C2orf27A	0.18	0.554181496534877
CHCHD1	-0.2	0.31174463011714
PARVB	-0.39	0.563207574236591
EID3	0.21	0.651253688438541
TCEB1	0.17	0.290503501310868
OVCH1-AS1	0.16	0.434976275810051
EMC8	0.29	0.307001937188359
SCHIP1	0.18	0.615924875185501
SLC35B1	0.29	0.295376042192084
DDX60	0.22	0.317635934827213
WDR48	-0.14	0.284845699581558
KLF10	-0.22	0.314829545567291
RALA	-0.16	0.318641948453739
SON	0.23	0.291856160457238
TSSC1	-0.15	0.296151102561055
CADM1	-0.19	0.349646075916189
KANK1	0.35	0.566639146892637
CYP27B1	-0.27	0.649456924289983
NHLRC3	-0.23	0.295977637092906
ABCB10	-0.25	0.292827721779806
ZNF175	0.15	0.344132419909428
ZNF266	-0.15	0.293269134047167
FEM1A	0.23	0.290872269616631
BRCC3	-0.18	0.31184924558687
ASPM	-0.2	0.29676219871762
NHSL1	0.64	0.410835701586347
PRSS16	0	0.992831111935364
HMGN2	0.2	0.31425001288033
SESTD1	0.25	0.293725063689347
OSCAR	-0.3	0.768738712323333
FXR1	-0.13	0.285723283329742
GPR113	-0.17	0.585089661812078
MBTPS2	0.24	0.354248402335912
EYA4	-0.42	0.343731761421612
LACE1	-0.14	0.423203555101314
NCEH1	-0.2	0.391105233112142
TSTD2	0.24	0.307311535337933
C7orf25	0.22	0.706562151146963
FKBPL	-0.15	0.424296483548053
NDRG2	-0.44	0.517422614132082
HNRNPL	-0.19	0.293012155348869
MGRN1	0.17	0.352182812361249
GJC2	-0.03	0.935502682070565
TPX2	-0.22	0.285297267926228
WSB1	-0.35	0.283979443237556
ZBTB7A	-0.19	0.355055470678438
NFIC	-0.19	0.506951903800834
NPIPA2	0.05	0.934194368172062
CPPED1	-0.12	0.773135965880802
TSPAN32	-0.25	0.751202860842976
PTPN11	0.19	0.291953923766322
ZNF189	0.14	0.307774014931956
ZNF446	0.15	0.374557573051908
ZNF233	0.24	0.634177138666707
KIAA1407	-0.2	0.44797357318189
RALGPS2	0.24	0.301173782170323
KDSR	0.14	0.301743927830735
PYGB	0.22	0.288464168070056
C11orf35	-0.29	0.586356554158291
FPGT-TNNI3K	-0.27	0.511922750943371
DCHS2	-0.66	0.369229581710303
TNRC18	0.22	0.292810572172339
CLUH	-0.43	0.291221255117955
SSH2	0.24	0.297017878199392
TTC32	-0.22	0.433970320797437
ADA	-0.19	0.300958806795416
ZNF770	-0.16	0.285834520463117
TNPO1	0.17	0.29882878986405
LCLAT1	-0.26	0.316857068292415
KBTBD13	0.25	0.584815838716386
CTC-260F20.3	-0.05	0.928947348970531
C19orf66	0.18	0.313224100202375
MFGE8	0.26	0.315860857354583
HIST2H4B	-0.69	0.320133520416524
H2AFY	-0.13	0.296390437951931
SLCO4A1	-0.29	0.335705318869314
GSTO2	0.02	0.974870518208162
PISD	0.16	0.303203170829237
ZNF414	0.22	0.480774571937324
MXI1	-0.48	0.314604484154727
CPED1	0.13	0.820789746128923
RIOK3	0.16	0.288464168070056
RAPGEF6	-0.13	0.287214154734541
SMG9	0.12	0.306062135129156
ANKRD63	0.08	0.904278127383378
GABRR2	-0.08	0.868807209814567
ZNF274	0.22	0.373938467410022
SLC19A1	-0.36	0.326990638309732
MTOR	0.28	0.288313213206653
RGPD6	0.36	0.615924875185501
CSRP2	-0.36	0.372575483288736
ZNF682	0.2	0.344132419909428
S1PR2	0.2	0.489820501676016
VAMP5	0.15	0.689901293427273
TMEM86B	0.17	0.406825756108098
THAP3	-0.14	0.349008588185508
CLN3	-0.23	0.339732525035012
CAMSAP1	-0.11	0.290512034254707
PILRA	-0.09	0.855833280746823
KCNQ3	0.5	0.395246713295539
C7orf49	0.19	0.30204714626199197
SSSCA1	-0.3	0.346421868267317
SGSM2	-0.19	0.292181220957305
CENPE	-0.24	0.288374710950365
SUOX	-0.21	0.537755138453089
CDKN1A	-0.19	0.288374710950365
IQSEC1	-0.53	0.405379712568035
SIPA1	-0.17	0.290566551599162
FHAD1	-0.11	0.82712597755115
TEX10	-0.17	0.289589570072319
LRG1	-0.18	0.716345645383287
E2F8	-0.16	0.30544431031168
SOCS7	0.17	0.406825756108098
TSPYL4	0.15	0.329919949383219
CCNK	0.17	0.375241000082018
COL5A2	-0.17	0.608309188289419
FAM57A	0.16	0.448564486720427
GAS2	0.05	0.909825603009857
INF2	0.15	0.2999131213771
CEP104	-0.14	0.33413819239658
FAM217B	0.25	0.31714181543264
LILRB1	0.31	0.527108337558601
CD2BP2	0.14	0.293120207113389
AP000783.1	0.14	0.692956062596794
CYB5B	-0.18	0.289032852776388
ASCC2	0.18	0.311276312961254
KIF20A	-0.4	0.290481764018438
RIC8B	0.14	0.337144122475108
CUL9	-0.14	0.30985367280835
KCNH8	0.02	0.974597896929137
PELP1	-0.23	0.308035599931664
SMAD6	-0.14	0.798908278500201
NDUFAF5	0.24	0.371557052185176
SUPT16H	-0.17	0.300623042839586
OSM	0.17	0.696358084991108
MAPKAP1	0.2	0.292987269068578
PTPLAD2	0.24	0.315058047034784
STAMBP	0.12	0.303339519605697
GFI1	-0.23	0.3321692894223
PCGF2	-0.18	0.443573419786265
MUC20	-0.09	0.853738299219863
SART1	-0.22	0.302339487024785
GLIPR1	-0.43	0.369328284259677
ZSWIM7	0.16	0.350674422637796
NOP56	-0.32	0.299106627035725
ZNF17	-0.17	0.360762227507975
MORF4L1	0.15	0.29128481382775
TRIM52	-0.16	0.340649726102507
CCRN4L	-0.24	0.359466594373104
PAGR1_ENSG00000263136.2	-0.18	0.328821187583026
NAV2	0.13	0.6898295906095
PRDM8	0.01	0.988171527980905
ARMC6	-0.31	0.300265422290415
GDF9	-0.01	0.978542087394667
MYBBP1A	-0.43	0.298630725909686
EGFL8	-0.16	0.473133277338113
EBPL	-0.24	0.320721275213715
C19orf68	-0.13	0.760119662506837
PPP1R32	-0.23	0.628229858616508
PCDHGC5	0.25	0.463279077834265
RHOBTB2	0.19	0.327993421567162
HSD3B7	0.02	0.964475831958839
MDM2	0.22	0.292568309071775
CMTM7	-0.28	0.347188643692886
HEMK1	-0.15	0.318609022504106
FN3K	0.04	0.948298670296465
RALB	0.15	0.307320546409174
TSR3	-0.19	0.349071396944607
USP33	0.15	0.292387578227007
SENP2	0.11	0.30985367280835
ZNF275	0.26	0.346804535426768
HOXC4	-0.18	0.514907314480839
CCDC157	-0.17	0.668532361431357
GCFC2	-0.16	0.315014311704523
KCTD16	-0.09	0.882251871970613
ERCC1	-0.14	0.294098316785563
TMEM177	-0.25	0.357424107412589
TEX22	-0.16	0.640236938324861
GNL1	-0.12	0.305644028644487
BCL7C	-0.16	0.406874196907679
NUGGC	0.05	0.958665155778483
TAS2R43	-0.14	0.800675011640949
ZNF350	0.15	0.34046045388603
SOBP	0.18	0.63704957326531
PRDX3	-0.22	0.294226881489559
OPA1	-0.12	0.294661170190542
UBN1	0.14	0.306293914578935
TRPM1	0.08	0.904323075250676
MLLT4	-0.19	0.296606005626489
FKBP8	-0.22	0.293447509611352
BTBD7	0.12	0.300136701012105
DPY19L3	0.18	0.300530223077892
TENC1	0.05	0.913399557966438
ARHGAP21	0.13	0.294009871072883
FAM185A	-0.16	0.658431706490072
UCK1	0.14	0.324801888752976
CBR1	-0.21	0.34385151441987
TOP3B	0.15	0.307001937188359
BMP4	0.23	0.380416210449914
ANKLE1	-0.28	0.309621125257031
HIPK2	0.22	0.34857419946893903
SULT1A4	0.46	0.448718878364992
ACOX3	0.16	0.401968676470734
DDX1	-0.24	0.294661170190542
PAOX	-0.23	0.55027426778012
ARRDC1	0.13	0.329947001014298
SEPT1_ENSG00000180096.7	0.26	0.332572854384026
PEMT	-0.3	0.384332677074712
CENPI	-0.21	0.330448562291674
SPEN	0.24	0.299603981031227
GATAD2B	0.22	0.320130168047751
FGD1	0.11	0.876205307016981
SLC7A5	-0.46	0.29570015915149
TIMM23B	0.21	0.745959658980375
SDHA	-0.22	0.296390437951931
CMC2	0.18	0.337144122475108
APPL1	-0.15	0.296387826266763
RBMS3	0.05	0.928114777621534
COQ9	-0.16	0.324388857294082
CTD-2583A14.10	0.19	0.723923963582018
PABPC3	0.2	0.536477556005258
PRR19	-0.02	0.965686072172688
SETD8	-0.18	0.30635414580105
RPA3-AS1	-0.16	0.431140663327549
WTAP	0.12	0.297191850887488
TMEM136	-0.26	0.346423761952252
ZNF821	-0.19	0.455767825921614
HSPA8	0.39	0.34271781094798
PIGB	-0.19	0.362936675118958
KCNMB3	-0.2	0.632516372078976
C4orf33	-0.31	0.379528904002434
LCMT1	-0.15	0.384045608311414
DDR2	-0.05	0.908892335318144
FMO5	-0.27	0.653164592144765
ZNF100	0.16	0.302414346570777
KLF7	-0.3	0.337198452531717
MSRA	-0.18	0.387594770849864
CNP	0.14	0.299715402769534
TOPORS	0.12	0.307513344726897
SEPHS2	0.23	0.314190589945892
SHISA3	0.04	0.942173757037741
ZNF142	0.27	0.34046045388603
LRRC70	-0.15	0.737408363183122
ENDOV	-0.16	0.439474038839833
CCDC62	0.17	0.553945571649672
OST4	-0.17	0.309964537334779
CATSPER2	0.17	0.463312538626289
ZNF613	0.14	0.364150687215674
RP11-345J4.5	0.19	0.322847276355766
RBBP4	-0.12	0.309033979640894
TSHZ1	0.14	0.318411726869705
VWA9	-0.15	0.313544193853498
WNK4	-0.01	0.984292573956435
GFM2	-0.15	0.314571327463449
LOXL3	-0.1	0.877526016198108
YEATS2	-0.21	0.300369959179957
ARHGAP18	-0.22	0.334126112597719
MRPL51	-0.2	0.306309949838186
SLFNL1	-0.04	0.948020117022589
STX16-NPEPL1	-0.24	0.625677805680455
ICAM3	0.25	0.30717807247195
ZNF341	0.16	0.561087191115735
PPP1R12A	0.14	0.300600960285947
BUB3	-0.13	0.31590756766642
CGGBP1	0.17	0.303611972254407
LMO7	0.18	0.31590756766642
APOBEC3D	0.17	0.390521777885392
KLF2	0.65	0.463147393693248
GLI3	0.19	0.55555724787245
TOR1B	0.13	0.364315828327294
C19orf47	0.13	0.399574351382244
FSBP	-0.12	0.887811575661529
HOXC6	0.04	0.914067572692277
TRIM22	-0.14	0.30544431031168
USP51	-0.14	0.597304765713724
AKIP1	-0.14	0.370482140771269
DDX56	-0.19	0.32405561114881
CYB5R4	-0.12	0.312400963782273
PAFAH1B3	-0.15	0.318867076934768
CLSTN1	0.15	0.301943028574757
YARS2	-0.18	0.329947001014298
HNRNPC	-0.15	0.328755585787174
PPIL6	0.12	0.751202860842976
NAGK	0.25	0.309089135858041
ELF2	0.14	0.304564090483478
ACADVL	-0.15	0.300926866579787
TIMELESS	-0.17	0.301042607771833
PRICKLE4	-0.25	0.487642228123255
UBALD1	0.21	0.433741411675834
TRAPPC1	0.16	0.339732525035012
RRAGC	0.16	0.401968676470734
TROAP	-0.18	0.318609022504106
C11orf68	-0.18	0.365680960027441
PHF23	0.16	0.313770701708669
SGPP1	0.2	0.349819651863984
INTS7	0.13	0.308035599931664
IRAK3	-0.13	0.30198987922173
EIF2AK1	-0.14	0.315820262216787
BOLA2	0.23	0.43003791932011
TAS2R46	0.11	0.820899222854147
PELO	-0.16	0.340889569422981
RAPGEF4	-0.06	0.933008212685435
SSH3	0.14	0.362097491470222
NPL	0.27	0.524023159996351
AP5Z1	0.14	0.375440643568751
FOPNL	-0.12	0.308702443373154
ZNF638	0.12	0.30717807247195
CLIC4	0.21	0.31920810838715
RP11-500M8.7	0.27	0.673273242017225
ATP5J2-PTCD1	-0.19	0.488498720827562
RASGEF1B	-0.35	0.469677092638926
NBEAL2	-0.18	0.306371308728596
STEAP1B	-0.04	0.941705358629179
COMMD3	0.15	0.32060308709212
STX5	0.24	0.327269049186511
FAM168A	0.24	0.312495858194579
AC024592.12	0.13	0.742773260472614
ZNF805	0.23	0.416076476557504
PRX	-0.18	0.591664099879776
HOMEZ	0.19	0.356973832807868
CTSC	0.19	0.30611754896957
PKIB	0.17	0.649456924289983
ZNF548	0.13	0.344746911380573
ZNF217	0.13	0.304446875286588
ABCC5	0.19	0.31107838610221
SULT1A1	-0.2	0.336960263820356
NDUFA4L2	-0.44	0.526745840234291
GPRASP1	0.21	0.558849302640625
DNAJC13	-0.13	0.306491803378035
ZNF177_ENSG00000188629.7	0.15	0.388543545562571
ZNF527	-0.15	0.403053863775194
FSIP1	-0.05	0.913683104852853
DCTN6	0.17	0.326990638309732
TNFAIP1	0.15	0.350304440099466
HCFC1R1	-0.14	0.432485410503247
MCOLN1	0.18	0.536584090525031
AL139099.1	0.09	0.861263784302654
RP11-603J24.9	0.26	0.558131500712375
ZCCHC8	-0.2	0.315963875105079
C22orf15	-0.22	0.771510605383252
ZNF286A_ENSG00000187607.11	-0.16	0.318053717087353
IFT81	0.15	0.35256284691503
DDX26B	0.24	0.331740886350844
ATP2A2	0.22	0.306491803378035
PCMTD1	0.23	0.30667413269651
C3orf18	0.1	0.815799665939522
TBC1D2	-0.23	0.58117852806949
COL14A1	-0.17	0.720664566442467
BIRC6	0.12	0.316210457895784
PLD6	-0.23	0.357773687241798
CEP250	0.16	0.315191873527286
SPRY2	0.2	0.30726561447920703
NR4A2	0.01	0.982025933868552
SLC25A32	-0.27	0.311155847337815
CAMK2N2	0.08	0.813822268394749
NCOR1	0.13	0.312190716206531
BRAF	0.15	0.31553089246866
PXN	-0.24	0.456729212217976
WRB	0.15	0.345749166206171
RTN4	-0.14	0.30985367280835
CXorf23	0.32	0.356635871013403
CDIP1	0.21	0.355686806077087
CYP2E1	0.24	0.553640851740817
PARS2	-0.17	0.435580630138887
CAPN12	-0.07	0.941380564748252
FAM78B	0.05	0.898913983079041
C17orf59	-0.15	0.355905182778767
DAB1	0.32	0.694635845596752
CNTF	-0.13	0.649456924289983
ZNF790	-0.14	0.372043151647843
DROSHA	-0.18	0.336222064235386
TVP23C	0.07	0.883373919468389
SNAPIN	-0.14	0.337576369018804
RP11-347C12.1	0.06	0.91172800571346
TMEM109	-0.32	0.312734498430815
CDC42	0.16	0.315191873527286
B4GALT6	-0.17	0.526798073775699
TMEM217	-0.06	0.87761864368269
SLC10A5	-0.14	0.660684081349661
RDH11	0.16	0.308617110410048
TTC4	-0.23	0.347274700981565
DFNB59	-0.08	0.796872521982429
COPB2	0.11	0.308557786715912
IFNGR1	0.17	0.332587033989948
CDK12	0.15	0.312486638003659
TNKS2	0.15	0.309313707606554
ZBTB42	0.16	0.456082418961269
FUT5	0.11	0.843158850623407
KCTD17	0.2	0.510569658522161
PRR24	0.16	0.58394351086582
